
> lokimetasmith.github.io@1.0.0 start
> serve dist

 UPDATE  The latest version of `serve` is 14.2.6
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 404 in 2 ms
 HTTP  5/22/2026 9:24:58 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 404 in 5 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:25:34 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:25:34 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:25:34 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:25:34 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:35 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:25:35 PM ::1 GET /mascot-6.png
 HTTP  5/22/2026 9:25:35 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:25:35 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:25:35 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:25:35 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 404 in 8 ms
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 404 in 8 ms
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 404 in 8 ms
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 200 in 39 ms
 HTTP  5/22/2026 9:25:35 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:25:35 PM ::1 Returned 404 in 2 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 5 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:26:12 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 5 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 6 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:26:12 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:26:12 PM ::1 GET /mascot-3.png
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:26:12 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:26:12 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 404 in 5 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 404 in 6 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 404 in 5 ms
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 200 in 44 ms
 HTTP  5/22/2026 9:26:12 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:26:12 PM ::1 Returned 404 in 3 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:27:14 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 11 ms
 HTTP  5/22/2026 9:27:14 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:27:14 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:27:15 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:27:15 PM ::1 GET /mascot-5.png
 HTTP  5/22/2026 9:27:15 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:27:15 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:27:15 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:27:15 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 404 in 7 ms
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 404 in 4 ms
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 404 in 3 ms
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 200 in 27 ms
 HTTP  5/22/2026 9:27:15 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:27:15 PM ::1 Returned 404 in 13 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /mascot-1.png
 HTTP  5/22/2026 9:28:53 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:28:53 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 404 in 3 ms
 HTTP  5/22/2026 9:28:54 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:28:54 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:28:54 PM ::1 Returned 404 in 3 ms
 HTTP  5/22/2026 9:28:54 PM ::1 Returned 404 in 3 ms
 HTTP  5/22/2026 9:28:53 PM ::1 Returned 200 in 38 ms
 HTTP  5/22/2026 9:28:54 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:28:54 PM ::1 Returned 404 in 7 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 4 ms
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:29:25 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 11 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 3 ms
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 7 ms
 HTTP  5/22/2026 9:29:25 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:29:25 PM ::1 Returned 200 in 1 ms
 HTTP  5/22/2026 9:29:26 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:29:26 PM ::1 GET /mascot-7.png
 HTTP  5/22/2026 9:29:26 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:29:26 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:29:26 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:29:26 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 404 in 4 ms
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 404 in 5 ms
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 404 in 4 ms
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 200 in 39 ms
 HTTP  5/22/2026 9:29:26 PM ::1 GET /sw.js
 HTTP  5/22/2026 9:29:26 PM ::1 Returned 404 in 3 ms
